field_size_m2,kVp,mm_Cu,BSF,f,mm_Al_inherent_filtration
0.0025,50,0,1.192,1.016,2.5
0.0025,50,0,1.204,1.016,3.1
0.0025,50,0,1.22,1.016,4.1
0.0025,50,0,1.231,1.016,5.1
0.0025,50,0.1,1.244,1.016,3.1
0.0025,50,0.1,1.251,1.016,4.1
0.0025,50,0.2,1.264,1.017,3.1
0.0025,50,0.2,1.268,1.017,4.1
0.0025,50,0.3,1.274,1.017,2.5
0.0025,50,0.3,1.275,1.018,3.1
0.0025,50,0.6,1.293,1.019,3.1
0.0025,50,0.9,1.301,1.02,2.5
0.0025,50,0.9,1.301,1.02,3.1
0.0025,80,0,1.232,1.03,2.5
0.0025,80,0,1.242,1.03,3.1
0.0025,80,0,1.256,1.031,4.1
0.0025,80,0,1.265,1.032,5.1
0.0025,80,0.1,1.275,1.034,3.1
0.0025,80,0.1,1.28,1.035,4.1
0.0025,80,0.2,1.289,1.037,3.1
0.0025,80,0.2,1.291,1.037,4.1
0.0025,80,0.3,1.294,1.039,2.5
0.0025,80,0.3,1.295,1.039,3.1
0.0025,80,0.6,1.3,1.044,3.1
0.0025,80,0.9,1.299,1.047,2.5
0.0025,80,0.9,1.299,1.047,3.1
0.0025,110,0,1.246,1.044,2.5
0.0025,110,0,1.254,1.045,3.1
0.0025,110,0,1.263,1.046,4.1
0.0025,110,0,1.269,1.047,5.1
0.0025,110,0.1,1.275,1.049,3.1
0.0025,110,0.1,1.277,1.05,4.1
0.0025,110,0.2,1.281,1.052,3.1
0.0025,110,0.2,1.281,1.053,4.1
0.0025,110,0.3,1.282,1.054,2.5
0.0025,110,0.3,1.282,1.055,3.1
0.0025,110,0.6,1.277,1.06,3.1
0.0025,110,0.9,1.271,1.064,2.5
0.0025,110,0.9,1.271,1.064,3.1
0.0025,150,0,1.248,1.057,2.5
0.0025,150,0,1.253,1.057,3.1
0.0025,150,0,1.257,1.059,4.1
0.0025,150,0,1.26,1.06,5.1
0.0025,150,0.1,1.262,1.061,3.1
0.0025,150,0.1,1.262,1.062,4.1
0.0025,150,0.2,1.261,1.064,3.1
0.0025,150,0.2,1.26,1.065,4.1
0.0025,150,0.3,1.259,1.066,2.5
0.0025,150,0.3,1.258,1.067,3.1
0.0025,150,0.6,1.247,1.072,3.1
0.0025,150,0.9,1.237,1.076,2.5
0.0025,150,0.9,1.237,1.076,3.1
0.01,50,0,1.239,1.016,2.5
0.01,50,0,1.257,1.016,3.1
0.01,50,0,1.281,1.016,4.1
