field_size_m2,kVp,mm_Cu,TTF,Reference
0.01,60,0,0.694,"Krajinovic et.al, 2020"
0.01,70,0,0.713,"Krajinovic et.al, 2020"
0.01,80,0,0.724,"Krajinovic et.al, 2020"
0.01,90,0,0.734,"Krajinovic et.al, 2020"
0.01,100,0,0.743,"Krajinovic et.al, 2020"
0.01,110,0,0.75,"Krajinovic et.al, 2020"
0.01,120,0,0.756,"Krajinovic et.al, 2020"
0.0225,60,0,0.703,"Krajinovic et.al, 2020"
0.0225,70,0,0.721,"Krajinovic et.al, 2020"
0.0225,80,0,0.732,"Krajinovic et.al, 2020"
0.0225,90,0,0.743,"Krajinovic et.al, 2020"
0.0225,100,0,0.751,"Krajinovic et.al, 2020"
0.0225,110,0,0.759,"Krajinovic et.al, 2020"
0.0225,120,0,0.765,"Krajinovic et.al, 2020"
0.04,60,0,0.72,"Krajinovic et.al, 2020"
0.04,70,0,0.741,"Krajinovic et.al, 2020"
0.04,80,0,0.753,"Krajinovic et.al, 2020"
0.04,90,0,0.765,"Krajinovic et.al, 2020"
0.04,100,0,0.775,"Krajinovic et.al, 2020"
0.04,110,0,0.784,"Krajinovic et.al, 2020"
0.04,120,0,0.79,"Krajinovic et.al, 2020"
0.01,60,0.1,0.745,"Krajinovic et.al, 2020"
0.01,70,0.1,0.762,"Krajinovic et.al, 2020"
0.01,80,0.1,0.772,"Krajinovic et.al, 2020"
0.01,90,0.1,0.779,"Krajinovic et.al, 2020"
0.01,100,0.1,0.785,"Krajinovic et.al, 2020"
0.01,110,0.1,0.79,"Krajinovic et.al, 2020"
0.01,120,0.1,0.794,"Krajinovic et.al, 2020"
0.0225,60,0.1,0.755,"Krajinovic et.al, 2020"
0.0225,70,0.1,0.774,"Krajinovic et.al, 2020"
0.0225,80,0.1,0.783,"Krajinovic et.al, 2020"
0.0225,90,0.1,0.79,"Krajinovic et.al, 2020"
0.0225,100,0.1,0.796,"Krajinovic et.al, 2020"
0.0225,110,0.1,0.801,"Krajinovic et.al, 2020"
0.0225,120,0.1,0.805,"Krajinovic et.al, 2020"
0.04,60,0.1,0.772,"Krajinovic et.al, 2020"
0.04,70,0.1,0.791,"Krajinovic et.al, 2020"
0.04,80,0.1,0.802,"Krajinovic et.al, 2020"
0.04,90,0.1,0.811,"Krajinovic et.al, 2020"
0.04,100,0.1,0.817,"Krajinovic et.al, 2020"
0.04,110,0.1,0.823,"Krajinovic et.al, 2020"
0.04,120,0.1,0.828,"Krajinovic et.al, 2020"
0.01,60,0.2,0.769,"Krajinovic et.al, 2020"
0.01,70,0.2,0.785,"Krajinovic et.al, 2020"
0.01,80,0.2,0.793,"Krajinovic et.al, 2020"
0.01,90,0.2,0.799,"Krajinovic et.al, 2020"
0.01,100,0.2,0.805,"Krajinovic et.al, 2020"
0.01,110,0.2,0.808,"Krajinovic et.al, 2020"
0.01,120,0.2,0.811,"Krajinovic et.al, 2020"
0.0225,60,0.2,0.782,"Krajinovic et.al, 2020"
0.0225,70,0.2,0.798,"Krajinovic et.al, 2020"
0.0225,80,0.2,0.807,"Krajinovic et.al, 2020"
0.0225,90,0.2,0.812,"Krajinovic et.al, 2020"
0.0225,100,0.2,0.817,"Krajinovic et.al, 2020"
0.0225,110,0.2,0.821,"Krajinovic et.al, 2020"
0.0225,120,0.2,0.824,"Krajinovic et.al, 2020"
0.04,60,0.2,0.795,"Krajinovic et.al, 2020"
0.04,70,0.2,0.812,"Krajinovic et.al, 2020"
0.04,80,0.2,0.823,"Krajinovic et.al, 2020"
0.04,90,0.2,0.83,"Krajinovic et.al, 2020"
0.04,100,0.2,0.839,"Krajinovic et.al, 2020"
0.04,110,0.2,0.844,"Krajinovic et.al, 2020"
0.04,120,0.2,0.849,"Krajinovic et.al, 2020"
0.01,60,0.3,0.783,"Krajinovic et.al, 2020"
0.01,70,0.3,0.798,"Krajinovic et.al, 2020"
0.01,80,0.3,0.806,"Krajinovic et.al, 2020"
0.01,90,0.3,0.81,"Krajinovic et.al, 2020"
0.01,100,0.3,0.814,"Krajinovic et.al, 2020"
0.01,110,0.3,0.817,"Krajinovic et.al, 2020"
0.01,120,0.3,0.823,"Krajinovic et.al, 2020"
0.0225,60,0.3,0.796,"Krajinovic et.al, 2020"
0.0225,70,0.3,0.81,"Krajinovic et.al, 2020"
0.0225,80,0.3,0.819,"Krajinovic et.al, 2020"
0.0225,90,0.3,0.823,"Krajinovic et.al, 2020"
0.0225,100,0.3,0.827,"Krajinovic et.al, 2020"
0.0225,110,0.3,0.83,"Krajinovic et.al, 2020"
0.0225,120,0.3,0.833,"Krajinovic et.al, 2020"
0.04,60,0.3,0.814,"Krajinovic et.al, 2020"
0.04,70,0.3,0.83,"Krajinovic et.al, 2020"
0.04,80,0.3,0.84,"Krajinovic et.al, 2020"
0.04,90,0.3,0.847,"Krajinovic et.al, 2020"
0.04,100,0.3,0.851,"Krajinovic et.al, 2020"
0.04,110,0.3,0.855,"Krajinovic et.al, 2020"
0.04,120,0.3,0.858,"Krajinovic et.al, 2020"
0.01,60,0.6,0.808,"Krajinovic et.al, 2020"
0.01,70,0.6,0.822,"Krajinovic et.al, 2020"
0.01,80,0.6,0.827,"Krajinovic et.al, 2020"
0.01,90,0.6,0.829,"Krajinovic et.al, 2020"
0.01,100,0.6,0.831,"Krajinovic et.al, 2020"
0.01,110,0.6,0.832,"Krajinovic et.al, 2020"
0.01,120,0.6,0.834,"Krajinovic et.al, 2020"
0.0225,60,0.6,0.823,"Krajinovic et.al, 2020"
0.0225,70,0.6,0.838,"Krajinovic et.al, 2020"
0.0225,80,0.6,0.842,"Krajinovic et.al, 2020"
0.0225,90,0.6,0.845,"Krajinovic et.al, 2020"
0.0225,100,0.6,0.845,"Krajinovic et.al, 2020"
0.0225,110,0.6,0.845,"Krajinovic et.al, 2020"
0.0225,120,0.6,0.848,"Krajinovic et.al, 2020"
0.04,60,0.6,0.83,"Krajinovic et.al, 2020"
0.04,70,0.6,0.849,"Krajinovic et.al, 2020"
0.04,80,0.6,0.856,"Krajinovic et.al, 2020"
0.04,90,0.6,0.862,"Krajinovic et.al, 2020"
0.04,100,0.6,0.866,"Krajinovic et.al, 2020"
0.04,110,0.6,0.867,"Krajinovic et.al, 2020"
0.04,120,0.6,0.871,"Krajinovic et.al, 2020"
0.01,60,0.9,0.825,"Krajinovic et.al, 2020"
0.01,70,0.9,0.833,"Krajinovic et.al, 2020"
0.01,80,0.9,0.836,"Krajinovic et.al, 2020"
0.01,90,0.9,0.836,"Krajinovic et.al, 2020"
0.01,100,0.9,0.836,"Krajinovic et.al, 2020"
0.01,110,0.9,0.838,"Krajinovic et.al, 2020"
0.01,120,0.9,0.839,"Krajinovic et.al, 2020"
0.0225,60,0.9,0.834,"Krajinovic et.al, 2020"
0.0225,70,0.9,0.848,"Krajinovic et.al, 2020"
0.0225,80,0.9,0.851,"Krajinovic et.al, 2020"
