x,y,z,i,j,k
1.7442048,-0.7901268,0.165357,0,1,2
1.7704158,-0.82218,0.1517988,1,3,4
1.7415312,-0.8366928,0.128718,5,6,2
1.795629,-0.86583102,0.1338666,6,7,8
1.772103,-0.87722508,0.1233246,7,9,10
1.7115648,-0.8787882,0.1313334,1,0,11
1.6998534,-0.84822414,0.1377636,9,7,12
1.685304,-0.8079162,0.1607154,12,7,6
1.713099,-0.7994076,0.1561212,6,5,13
1.6747956,-0.7822242,0.1729956,14,15,16
1.6969068,-0.7690314,0.1682718,13,5,17
1.7582388,-0.7914072,0.1864368,15,12,18
1.6691598,-0.8250948,0.1709694,12,13,19
1.6835082,-0.8603376,0.1561872,20,21,22
1.6550526,-0.7673862,0.203205,18,23,20
1.6630104,-0.796578,0.1816044,18,19,24
1.6606038,-0.8099346,0.2211954,19,17,25
1.725705,-0.88623354,0.2074398,17,26,27
1.6623864,-0.8387052,0.2163264,28,29,3
1.6873464,-0.87598992,0.2086698,28,30,31
1.6862436,-0.8104398,0.2676234,28,11,32
1.6785072,-0.7664052,0.2572872,30,33,34
1.653627,-0.7773576,0.2292942,30,32,35
1.6893114,-0.84651294,0.2645106,20,36,37
1.7055564,-0.86994906,0.2680044,23,38,36
1.738302,-0.87689448,0.2645898,38,35,39
1.757181,-0.88595844,0.2023218,38,23,24
1.769403,-0.87580476,0.2561574,25,38,24
1.77921,-0.820974,0.1740108,35,38,33
1.8071394,-0.8537625,0.1494132,25,27,38
1.791321,-0.8246952,0.1965582,33,38,27
1.8212658,-0.86628594,0.1803744,34,27,26
1.7673558,-0.7897146,0.2140668,5,4,26
1.7866506,-0.8228838,0.2380086,3,29,31
1.8047574,-0.85955208,0.2383206,40,41,42
1.7672346,-0.7958106,0.2320704,41,43,44
1.7204946,-0.7923648,0.271485,45,46,42
1.7043264,-0.7420806,0.259869,46,47,48
1.733391,-0.8276706,0.2709378,47,49,50
1.7544198,-0.7742364,0.2383344,41,40,51
0.423174,-0.8038908,0.127773,49,47,52
0.452058,-0.835944,0.1142154,52,47,46
0.420228,-0.85045902,0.0911364,46,45,53
0.479844,-0.8795949,0.0962826,54,55,56
0.453924,-0.8909916,0.0857412,53,45,57
0.387204,-0.89255478,0.0937494,55,52,58
0.374292,-0.86199072,0.100179,52,53,59
0.35826,-0.8216832,0.1231338,60,61,62
0.38889,-0.8131746,0.1185372,58,63,60
0.34668,-0.7959906,0.1354116,58,59,64
0.371046,-0.7827984,0.1306878,59,57,65
0.438642,-0.8051712,0.1488528,57,66,67
0.34047,-0.8388588,0.1333854,68,69,43
0.35628,-0.87410418,0.1186032,68,70,71
0.324924,-0.7811532,0.165624,68,51,72
0.33369,-0.810342,0.1440204,70,73,74
0.331038,-0.8236986,0.1836114,70,72,75
0.402786,-0.9,0.1698558,60,76,77
0.333,-0.85247178,0.1787424,63,78,76
0.36051,-0.88975386,0.1710852,78,75,79
0.359298,-0.8242038,0.2300394,78,63,64
0.350772,-0.7801716,0.2197032,65,78,64
0.323352,-0.791124,0.1917126,75,78,73
0.362676,-0.86027676,0.2269266,65,67,78
0.38058,-0.88371564,0.2304204,73,78,67
0.416664,-0.89066106,0.2270082,74,67,66
0.437472,-0.899724986,0.1647402,45,44,66
0.450942,-0.8895687,0.218574,43,69,71
0.461754,-0.8347404,0.1364298,80,81,82
0.492534,-0.86752908,0.1118292,83,80,84
0.475098,-0.8384592,0.1589742,85,86,87
0.508098,-0.88004976,0.1427904,88,85,84
0.448686,-0.8034786,0.1764834,89,88,82
0.46995,-0.8366502,0.2004246,81,80,90
0.489906,-0.8733186,0.2007366,88,89,91
0.448554,-0.8095746,0.19449,88,92,93
0.397038,-0.8061282,0.2339034,93,86,85
0.379224,-0.7558446,0.2222874,86,93,94
0.411252,-0.84143742,0.2333538,92,91,95
0.43443,-0.7880004,0.2007504,93,92,96
1.7704182,-0.82218,0.7481946,97,98,95
1.7442072,-0.7901268,0.7346382,99,96,95
1.7131014,-0.7994076,0.743874,94,96,99
1.7956314,-0.86583102,0.7661274,100,94,101
1.7415336,-0.8366928,0.7712772,102,100,103
1.6998558,-0.84822414,0.7622316,104,90,80
1.7115672,-0.8787882,0.7686612,105,90,104
1.7721054,-0.87722508,0.7766694,106,90,105
1.6853064,-0.8079162,0.7392798,107,105,108
1.674798,-0.7822242,0.7269996,109,105,107
1.7792124,-0.820974,0.7259832,110,98,97
1.6630128,-0.796578,0.7183908,111,99,98
1.6691622,-0.8250948,0.7290258,112,111,110
1.6835106,-0.8603376,0.743808,101,99,111
1.6873482,-0.87598992,0.6913254,101,111,103
1.660605,-0.8099346,0.6787998,107,111,112
1.6623882,-0.8387052,0.6836688,111,113,103
1.6785084,-0.7664052,0.6427074,111,107,114
1.6862448,-0.8104398,0.6323718,113,114,108
1.6893126,-0.84651294,0.6354846,87,86,100
1.7257068,-0.88623354,0.6925554,83,87,102
1.7055576,-0.86994906,0.6319908,115,116,117
1.7571828,-0.88595844,0.6976734,118,115,119
1.7383032,-0.87689448,0.6354054,120,121,122
1.8071418,-0.8537625,0.7505808,123,120,119
1.7913228,-0.8246952,0.7034358,124,123,117
1.7582412,-0.7914072,0.7135584,116,115,125
1.7866518,-0.8228838,0.6619854,123,124,126
1.8212682,-0.86628594,0.7196196,123,127,128
1.7673576,-0.7897146,0.6859272,128,121,120
1.7204958,-0.7923648,0.6285102,121,128,129
1.7333922,-0.8276706,0.6290574,127,126,130
1.7672358,-0.7958106,0.667923,128,127,131
1.7694042,-0.87580476,0.6438366,132,133,130
1.8047586,-0.85955208,0.6616734,134,131,130
0.452064,-0.835944,0.7857888,129,131,134
0.42318,-0.8038908,0.7722318,135,129,136
0.388896,-0.8131746,0.7814676,137,135,138
0.47985,-0.8795949,0.803721,139,125,115
0.420234,-0.85045902,0.8088684,140,125,139
0.374298,-0.86199072,0.7998252,141,125,140
0.38721,-0.89255478,0.8062554,142,140,143
0.45393,-0.8909916,0.8142636,144,140,142
0.358266,-0.8216832,0.7768704,145,133,132
0.346686,-0.7959906,0.7645932,146,134,133
0.46176,-0.8347404,0.763575,147,146,145
0.333696,-0.810342,0.7559844,136,134,146
0.340476,-0.8388588,0.7666194,136,146,138
0.356286,-0.87410418,0.781401,142,146,147
0.360516,-0.88975386,0.728919,146,148,138
0.331044,-0.8236986,0.7163934,146,142,149
0.333006,-0.85247178,0.7212624,148,149,143
0.350778,-0.7801716,0.6803016,122,121,135
0.359304,-0.8242038,0.6699654,118,122,137
0.362682,-0.86027676,0.6730782,2,8,0
0.402792,-0.9,0.730149,4,2,1
0.380586,-0.88371564,0.6695844,2,4,5
0.437478,-0.899724986,0.7352646,8,2,6
0.41667,-0.89066106,0.672996,10,8,7
0.49254,-0.86752908,0.7881744,11,28,1
0.475104,-0.8384592,0.7410294,12,15,9
0.438648,-0.8051712,0.751152,6,13,12
0.469956,-0.8366502,0.699579,16,22,14
0.508104,-0.88004976,0.7572132,17,19,13
0.448692,-0.8034786,0.7235214,18,16,15
0.397044,-0.8061282,0.6661008,19,18,12
0.411258,-0.84143742,0.666651,22,16,20
0.44856,-0.8095746,0.7055148,20,16,18
0.450948,-0.8895687,0.6814308,24,23,18
0.489912,-0.8733186,0.699267,25,24,19
1.6536282,-0.7773576,0.670701,27,25,17
0.323358,-0.791124,0.7082922,3,1,28
2.486052,0.578376,0.2933496,31,29,28
2.485962,0.566574,0.2898186,32,30,28
2.478582,0.569184,0.2877558,34,31,30
2.49879,0.568278,0.3212634,35,33,30
2.490846,0.57084,0.2949972,37,21,20
2.493624,0.557412,0.3081798,36,20,23
2.478768,0.553842,0.2960262,39,36,38
2.459298,0.561756,0.2899722,27,34,33
2.451936,0.576858,0.284331,26,31,34
2.471256,0.576846,0.283881,26,17,5
2.461686,0.591354,0.2855076,31,26,4
2.491182,0.589014,0.3088986,31,4,3
2.478558,0.579078,0.2863194,42,48,40
2.735238,0.374766,0.4064328,44,42,41
2.75205,0.368022,0.40050816,42,44,45
2.73954,0.357618,0.3827616,48,42,46
2.719896,0.363858,0.3692778,50,48,47
2.720634,0.385134,0.40050036,51,68,41
2.702844,0.386172,0.3645594,52,55,49
2.700558,0.40044,0.3683838,46,53,52
2.710782,0.395412,0.39445158,56,62,54
2.705574,0.416748,0.374724,57,59,53
2.722566,0.40884,0.3808362,58,56,55
2.744652,0.388188,0.39296772,59,58,52
2.723046,0.37761,0.40210842,62,56,60
2.762268,0.387762,0.42160626,60,56,58
2.48124,0.595158,0.2950848,64,63,58
2.490852,0.57084,0.6049914,65,64,59
2.478564,0.579078,0.6136692,67,65,57
2.471262,0.576846,0.6161082,43,41,68
2.498796,0.568278,0.5787252,71,69,68
2.491188,0.589014,0.59109,72,70,68
2.49363,0.557412,0.5918094,74,71,70
2.478774,0.553842,0.6039624,75,73,70
2.485968,0.566574,0.61017,77,61,60
2.478588,0.569184,0.6122334,76,60,63
2.459304,0.561756,0.610017,79,76,78
2.461692,0.591354,0.6144816,67,74,73
2.451942,0.576858,0.6156582,66,71,74
2.486058,0.578376,0.6066396,66,57,45
2.481246,0.595158,0.6049044,71,66,44
2.739546,0.357618,0.5172264,71,44,43
2.735244,0.374766,0.49355466,82,84,80
2.723052,0.37761,0.49787898,84,87,83
2.70285,0.386172,0.5354286,87,84,85
2.72064,0.385134,0.49948704,84,82,88
2.710788,0.395412,0.50553594,90,106,81
2.70558,0.416748,0.525264,91,92,88
2.700564,0.40044,0.5316036,93,85,88
2.722572,0.40884,0.5191518,150,95,91
2.744658,0.388188,0.50701956,94,100,86
2.719902,0.363858,0.5307102,95,96,92
1.7821782,-0.168642,0.2166138,96,94,93
1.8133662,-0.14382,0.2275374,95,150,97
1.8125568,-0.195918,0.2370618,95,98,99
1.8474396,-0.130542,0.251505,99,101,94
1.8424728,-0.190584,0.2544222,101,103,100
1.8734814,-0.141228,0.2815086,103,113,102
1.8818442,-0.1842,0.3026328,80,83,104
1.8408198,-0.223092,0.2631078,104,108,105
1.8070452,-0.233238,0.248625,105,109,106
1.7524416,-0.237072,0.2326398,108,114,107
1.7654886,-0.20061,0.2217906,107,112,109
1.7985336,-0.253782,0.255549,98,110,111
1.7466306,-0.257982,0.2426562,114,113,111
1.7891442,-0.28032,0.27177,108,102,113
1.7382174,-0.289866,0.2593002,100,102,87
1.7774406,-0.3171906,0.2999352,102,108,104
1.8335118,-0.275262,0.283947,102,104,83
1.8257148,-0.3085872,0.3072084,117,119,115
1.8501192,-0.291198,0.3084546,119,122,118
1.8682734,-0.264852,0.3124002,122,119,120
1.839939,-0.244536,0.2706594,119,117,123
1.8821034,-0.231198,0.306111,125,141,116
1.8928044,-0.157602,0.3091602,126,127,123
1.9316712,-0.184194,0.3465294,128,120,123
1.9052964,-0.228978,0.3252438,151,130,126
1.9289466,-0.229992,0.3435942,129,135,121
1.9174074,-0.27021,0.3340644,130,131,127
1.9007844,-0.29226,0.327381,131,129,128
1.8801912,-0.3190422,0.3235326,130,151,132
1.841124,-0.3366516,0.322176,130,133,134
1.8165216,-0.3376698,0.3192954,134,136,129
1.7708634,-0.3328536,0.309483,136,138,135
1.725882,-0.327741,0.276759,138,148,137
1.9587684,-0.187152,0.3746862,115,118,139
1.9504818,-0.230964,0.3674634,139,143,140
1.941042,-0.282456,0.3621738,140,144,141
1.9228608,-0.3102534,0.3561018,143,149,142
1.8955608,-0.3401826,0.3541524,142,147,144
1.8490428,-0.3594582,0.347823,133,145,146
1.8097266,-0.3594426,0.3468552,149,148,146
1.7692314,-0.3572052,0.335967,143,137,148
1.7175768,-0.3564642,0.302988,135,137,122
1.961622,-0.191874,0.449996532,137,143,139
1.9512672,-0.236832,0.449996568,137,139,118
1.941873,-0.287058,0.449996604,152,153,154
1.9220736,-0.3166752,0.449996676,155,156,152
1.8918132,-0.3424146,0.44999679,155,157,153
1.8461262,-0.365748,0.449996958,153,157,158
1.7969208,-0.367737,0.449997138,153,158,159
1.7490438,-0.3602598,0.449997318,154,159,160
1.6837866,-0.352608,0.449997558,161,160,162
1.9378602,-0.068484,0.3119424,163,152,164
1.8995436,-0.029628,0.2756076,165,166,167
1.9257912,0.000822,0.297153,165,167,168
1.9657212,-0.047418,0.3365424,169,170,171
1.9457154,-0.106914,0.3359526,172,171,173
1.9231728,-0.08817,0.3038418,172,173,174
1.8868302,-0.074928,0.2720028,174,175,169
1.8760494,-0.099798,0.2729286,169,175,176
1.8683634,-0.08328,0.2369556,177,165,176
1.9674858,-0.125424,0.3593832,177,166,165
1.981404,-0.14112,0.3807696,170,169,176
1.986654,-0.14667,0.449996436,162,178,164
1.997754,-0.120816,0.380013,179,180,181
2.000562,-0.12423,0.449996388,179,182,183
1.983372,-0.099306,0.363528,184,182,179
0.9237396,-0.346932,0.2121798,185,184,186
1.0343184,-0.3654594,0.2065242,185,186,187
0.9959946,-0.4057512,0.2333646,188,187,181
1.0266666,-0.411324,0.237567,189,190,181
1.0640124,-0.4012206,0.2322162,191,183,192
1.1591904,-0.3567396,0.2211972,193,194,195
1.1551014,-0.3845766,0.2383494,196,197,198
1.1509596,-0.4059528,0.3027012,199,200,198
1.0322214,-0.4168998,0.3008742,201,199,198
1.1460588,-0.4158708,0.3486162,202,201,198
1.3054068,-0.3413808,0.2721606,195,202,197
1.302873,-0.369567,0.343686,197,196,203
1.293963,-0.3805248,0.449998998,192,189,181
1.1348316,-0.4216098,0.449999586,154,161,164
1.6303284,-0.6721266,0.2061936,154,164,152
1.6443726,-0.6704232,0.199767,152,156,153
1.6536156,-0.7182186,0.1897272,152,163,155
1.6733472,-0.660957,0.2145516,153,156,155
1.694421,-0.6555666,0.2117244,159,154,153
1.7104806,-0.7002306,0.1999098,160,161,154
1.7032632,-0.655617,0.231915,164,178,163
1.7200368,-0.7016988,0.226713,168,176,165
1.6346256,-0.722487,0.189108,171,172,169
1.6347606,-0.737523,0.1927182,169,172,174
1.6525632,-0.7552146,0.1956012,176,175,177
1.631235,-0.7624272,0.1910364,176,168,170
1.7348718,-0.7346454,0.2247474,164,161,162
1.7290398,-0.7400916,0.199521,181,187,186
1.6647006,-0.7122726,0.1863126,181,186,179
1.6600434,-0.661719,0.2110842,179,191,180
1.627911,-0.766728,0.2363082,183,191,179
1.636554,-0.7617108,0.264672,179,186,184
1.6455918,-0.7262454,0.2628522,187,188,185
1.6351182,-0.6637212,0.2551056,181,190,188
1.6256946,-0.6772362,0.2319948,192,180,191
1.627059,-0.7332648,0.2297778,195,203,193
1.6997028,-0.7431222,0.1949688,198,200,196
1.6815012,-0.703944,0.1987038,198,197,202
1.6780038,-0.749571,0.187008,202,195,194
1.666515,-0.7535244,0.1891794,203,195,197
1.7051856,-0.6912354,0.2483214,181,180,192
1.724319,-0.7370262,0.242997,204,205,206
1.6671318,-0.7184778,0.2727942,205,207,208
1.6904514,-0.6989028,0.2640318,208,207,209
1.6742328,-0.6586218,0.2643282,210,211,208
1.662852,-0.6564,0.2627382,211,212,206
1.697595,-0.659796,0.245682,212,213,214
0.4527,-0.3924264,0.2517486,212,215,216
0.425466,-0.4119432,0.206262,215,217,218
0.465138,-0.3453108,0.1886766,218,217,219
0.404004,-0.4416846,0.1842834,217,220,221
0.444528,-0.3509604,0.1632168,221,220,222
0.379506,-0.4364766,0.1634286,222,220,223
0.41874,-0.3471864,0.1545336,220,224,225
0.351324,-0.4318194,0.1569432,220,217,215
0.394284,-0.3339462,0.1514472,212,211,224
0.320874,-0.4231998,0.1622862,211,210,225
0.365694,-0.3190608,0.161466,210,209,226
0.25266,-0.4036596,0.2111454,225,227,228
0.250542,-0.4040982,0.24834,228,223,225
0.279972,-0.3310872,0.2720406,229,230,223
0.293544,-0.299256,0.2583588,229,228,227
0.29781,-0.299082,0.2156652,223,230,231
0.285594,-0.3308592,0.215118,231,232,222
0.33942,-0.6141798,0.170067,232,233,221
0.335364,-0.5408616,0.1729314,221,233,234
0.36429,-0.5358444,0.1762404,234,235,219
0.337566,-0.4961292,0.1652034,235,236,218
0.369708,-0.4960206,0.1687212,237,238,229
0.327528,-0.4943226,0.1666392,238,239,230
0.315864,-0.6162084,0.1792662,239,240,231
0.30786,-0.5477094,0.185019,240,241,232
0.29577,-0.4870548,0.1841064,241,242,233
0.287712,-0.4172484,0.1919646,242,243,234
0.290538,-0.6187422,0.1973628,243,244,235
0.279408,-0.54786,0.198648,244,245,236
0.262854,-0.4874754,0.2035092,246,247,238
0.361578,-0.613545,0.17313,247,248,239
0.380418,-0.5386242,0.1896738,248,249,240
0.390414,-0.4929288,0.1900542,249,250,241
0.410844,-0.4540152,0.2177514,250,251,242
0.387372,-0.5047728,0.2229804,251,252,243
0.374298,-0.5493384,0.2161092,252,253,244
0.370068,-0.6021456,0.211761,253,254,245
0.376356,-0.6051504,0.1910304,255,256,257
0.39186,-0.4613994,0.2446098,257,258,255
0.371712,-0.5083482,0.2362416,255,258,259
0.350454,-0.5087532,0.2472918,259,260,255
0.344304,-0.5552682,0.230481,255,260,261
0.364932,-0.4546284,0.2596992,209,207,262
0.326586,-0.427458,0.2646714,262,207,263
0.315396,-0.503355,0.248805,263,261,262
0.32001,-0.5557182,0.2329674,260,259,226
0.318774,-0.6139392,0.223533,226,259,227
0.34728,-0.6068508,0.2255484,227,259,264
0.281556,-0.4215834,0.2656482,265,237,227
0.2706,-0.4857504,0.2453166,265,266,246
0.292602,-0.5538162,0.2311218,265,267,268
0.303606,-0.6122334,0.2221056,227,225,210
0.25974,-0.4881546,0.226599,226,227,210
0.273408,-0.5612112,0.2210076,262,261,260
0.283992,-0.6175602,0.2106984,209,262,260
0.291918,-0.3437718,0.206244,269,264,259
1.686513,-0.5896254,0.213351,269,267,265
1.700949,-0.525561,0.2137716,270,271,272
1.711317,-0.5186898,0.235425,272,271,273
1.7082936,-0.4807542,0.20904,273,271,274
1.7174448,-0.4802862,0.2345178,271,275,276
1.7105394,-0.4023024,0.2087622,276,277,278
1.7188758,-0.397806,0.2318358,278,273,274
1.7143608,-0.3556974,0.1941996,278,277,279
1.7206584,-0.351003,0.2228142,277,280,281
1.6354356,-0.5953062,0.2071116,282,283,279
1.6282362,-0.5390262,0.197598,284,285,286
1.6199262,-0.6027438,0.2141418,287,288,289
1.6307802,-0.4949466,0.1930884,288,290,291
1.6119414,-0.5410866,0.204192,292,286,293
1.6300182,-0.4166484,0.1844292,293,294,295
1.6056198,-0.4901148,0.1951938,295,294,14
1.6123428,-0.373365,0.1714008,291,296,297
1.591887,-0.421425,0.1892622,298,299,287
1.613832,-0.6048042,0.2266992,285,299,298
1.5954162,-0.5394282,0.2169936,293,295,300
1.5803376,-0.491379,0.2153058,295,14,22
1.5836274,-0.3727644,0.1817586,300,22,21
1.574892,-0.416397,0.2028726,300,301,302
1.6158288,-0.5955576,0.2408496,303,304,305
1.5993756,-0.5376774,0.241662,297,306,307
1.5842466,-0.4883742,0.241998,308,298,307
1.5674622,-0.371844,0.1978236,308,309,286
1.5656796,-0.4191396,0.2385198,294,309,14
1.6403868,-0.5850918,0.263421,286,309,294
1.6195584,-0.5299596,0.26583,293,305,292
1.6105158,-0.4872792,0.2676156,291,310,311
1.5598452,-0.35511,0.2641278,301,21,312
1.5981744,-0.3935058,0.2689146,301,312,302
1.6926384,-0.589281,0.2303178,37,313,312
1.6881684,-0.3679536,0.1784124,311,310,313
1.6894272,-0.4034052,0.1861854,313,314,315
1.6688772,-0.5913228,0.2025438,313,310,316
1.6833096,-0.4891518,0.185175,312,315,303
1.6522302,-0.5952192,0.201753,317,318,319
1.6532346,-0.3564594,0.161919,318,320,321
1.6569168,-0.4027494,0.1792716,320,322,323
1.6623066,-0.4959252,0.1859472,322,324,325
1.6567632,-0.5500338,0.193803,324,326,327
1.6800642,-0.5416872,0.1947972,328,329,330
1.6310928,-0.3586356,0.2907954,331,332,333
1.5990054,-0.360048,0.2851728,334,335,336
1.6361496,-0.3823446,0.2743518,335,337,338
1.6380912,-0.4848828,0.2810328,337,324,322
1.6908822,-0.5842536,0.2562372,335,339,337
1.6595118,-0.5932776,0.2718738,339,326,324
1.684167,-0.5087136,0.266793,340,341,335
1.6447902,-0.5279334,0.2794194,341,342,339
1.6950852,-0.3582786,0.2879046,342,343,326
1.7026866,-0.4004802,0.2773488,344,345,341
1.6903374,-0.4711962,0.2720724,345,346,342
1.7421954,-0.2646,0.2010498,346,328,343
1.7311632,-0.271308,0.170763,347,336,348
1.7343348,-0.3022338,0.2128668,336,338,349
1.6960206,-0.262884,0.1448544,338,322,320
1.7237256,-0.31101,0.1838736,350,320,318
1.653309,-0.273534,0.141786,350,351,349
